Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Randy Holcomb,2002,56,79,NA,85,105,35.5,29.5,225,NA,NA,NA,15,12.85,3.22
Danilo Pinnock,2006,NA,74.75,76,79.5,100.5,35.5,29.5,204,4.6,NA,NA,7,11.91,3.08
Paul Miller,2006,NA,80.5,81.25,84,101.5,35.5,29,251,13.8,NA,NA,25,12.25,3.66
Tarence Kinsey,2006,NA,76.75,77.5,78.75,100.5,35.5,29,179,4.1,NA,NA,5,10.67,3.3
J.R. Smith,2004,NA,77.5,78.75,82,104,35.5,29,227,6.7,NA,NA,5,10.93,3.21
Jermaine Boyette,2003,NA,73,,76,96,35.5,29,187,7.3,NA,NA,14,11.2,3.07
Omari Spellman,2018,30,80,81.25,86,107.5,35.5,28.5,253.8,13.75,9,9,8,12.28,3.38
Jaquay Walls,2000,56,73.25,NA,74.5,96.5,35.5,28.5,165.5,NA,NA,NA,0,10.75,3.23
Nik Caner-Medley,2006,NA,78.5,80,81,103,35.5,28.5,234,9.6,NA,NA,17,10.57,3.21
Allan Ray,2006,NA,73,74.25,80.5,99.5,35.5,28.5,204,9.8,NA,NA,9,11.01,3.2
Kris Wilkes,2018,NA,78.5,79.5,82.25,103.5,35.5,28,205,5.15,8.75,9.25,1,11.29,3.24
Jacob Evans,2018,28,76.25,77.5,81.25,102.5,35.5,28,199.6,6.5,9,9.25,8,11.11,3.2
Josh Hart,2017,30,75.75,77,80.25,101,35.5,27.5,209.2,5.8,8.5,9.5,9,11.15,3.18
